rank,gene,rna_lfc,rna_p,tissue,prot_lfc,prot_p,neglog10p,transcriptomic,proteomic,genomic,score,concordant
1,HLA-DRA,0.802553910320514,2.18367251709153e-08,PHG,0.135713166113647,0.0280317506057097,16.69897000433602,0.802553910320514,0.135713166113647,16.69897000433602,0.9573991031390134,True
2,HLA-DRB1,0.661777161026695,9.52061537458034e-07,PHG,0.102269735394966,0.633040329191009,22.522878745280337,0.661777161026695,0.102269735394966,22.522878745280337,0.9551569506726456,True
3,APOC1,0.505815823960661,0.0001437333385123,PHG,-0.228524981026124,0.0084152500544733,672.698970004336,0.505815823960661,0.228524981026124,672.698970004336,0.9494768310911808,False
4,PECAM1,0.85656558665246,2.6729206410796203e-10,TCX,0.0899574927151963,0.625272531516394,16.522878745280337,0.85656558665246,0.0899574927151963,16.522878745280337,0.9391629297458892,True
5,MTSS2,0.640547443447463,1.03926965445091e-13,TCX,-0.0995363183147964,0.251762341499552,13.522878745280336,0.640547443447463,0.0995363183147964,13.522878745280336,0.913303437967115,False
6,ITGAX,0.701560609589716,4.58651638699188e-11,PHG,0.118861892302656,0.0045735313261286,11.69897000433602,0.701560609589716,0.118861892302656,11.69897000433602,0.9119581464872946,True
7,GMPR,1.03607061824559,1.0298931091861201e-17,PHG,0.226955627786444,1.23923433762828e-05,10.096910013008056,1.03607061824559,0.226955627786444,10.096910013008056,0.9098654708520179,True
8,RPH3A,-1.15938359622984,3.80964173523854e-20,TCX,-0.13379780508807,1.78865238075578e-05,10.045757490560677,1.15938359622984,0.13379780508807,10.045757490560677,0.9044843049327354,True
9,NRXN3,-0.636646147168219,1.3356186240090401e-17,TCX,0.0616062881013799,0.0255399884454602,22.0,0.636646147168219,0.0616062881013799,22.0,0.9035874439461883,False
10,APLNR,1.2809588011238,1.57910362816389e-15,PHG,0.0998615797197114,0.0675034056702658,10.522878745280336,1.2809588011238,0.0998615797197114,10.522878745280336,0.9022421524663676,True
11,APOE,0.375611940857583,0.0007284281605073,TCX,0.107356933101995,0.0475604114796511,496.397940008672,0.375611940857583,0.107356933101995,496.397940008672,0.901644245142003,True
12,SHANK2,-0.544991403315626,7.32559186535873e-07,TCX,-0.0644893115811264,0.156669423284206,30.0,0.544991403315626,0.0644893115811264,30.0,0.8986547085201793,True
13,APOB,0.395646630618722,0.0164093350109251,PHG,0.12624230366462,0.0952342709055852,19.0,0.395646630618722,0.12624230366462,19.0,0.8965620328849028,True
14,MOG,0.472534420858162,6.20130389080288e-05,PHG,-0.0919097852766513,0.343489076361164,17.30102999566398,0.472534420858162,0.0919097852766513,17.30102999566398,0.8962630792227205,False
15,PLEC,0.59548505468465,1.22363658615194e-13,TCX,0.263616003662841,2.0990004091347e-05,10.522878745280336,0.59548505468465,0.263616003662841,10.522878745280336,0.8944693572496262,True
