rank,gene,rna_lfc,rna_p,tissue,prot_lfc,prot_p,neglog10p,transcriptomic,proteomic,genomic,score,concordant
41,ALPL,0.584023660836019,1.48455399952784e-07,TCX,-0.11937336389037,0.0278339715901323,8.221848749616356,0.584023660836019,0.11937336389037,8.221848749616356,0.8189835575485799,False
42,CLIC4,0.573699109114058,3.97426818204871e-09,PHG,-0.0408727978621241,0.55376783591648,15.69897000433602,0.573699109114058,0.0408727978621241,15.69897000433602,0.818236173393124,False
43,AHNAK,0.792012183963552,3.60077826049961e-17,PHG,0.0821747699398953,0.0541639369088897,8.221848749616356,0.792012183963552,0.0821747699398953,8.221848749616356,0.8162929745889387,True
44,PLAUR,0.468668186394316,5.66515158855922e-05,PHG,0.0609606601245278,0.450669055177216,11.522878745280336,0.468668186394316,0.0609606601245278,11.522878745280336,0.8143497757847533,True
45,KPNA2,-0.324253352078997,8.85444508876161e-08,PHG,0.0698383912005992,0.0496653556681327,14.397940008672036,0.324253352078997,0.0698383912005992,14.397940008672036,0.8092675635276532,False
46,PTPRN2,-0.392303891519572,2.43989490009363e-08,TCX,0.0549538922522955,0.0773306956267002,14.096910013008056,0.392303891519572,0.0549538922522955,14.096910013008056,0.8065769805680119,False
47,CYRIB,-0.399571749520534,1.90136642271509e-13,TCX,-0.059675868024704,0.0003375243016287,12.69897000433602,0.399571749520534,0.059675868024704,12.69897000433602,0.8055306427503737,True
48,PTPRC,0.638893395560835,1.40198781541946e-07,PHG,0.0465729759234529,0.249986832949921,10.69897000433602,0.638893395560835,0.0465729759234529,10.69897000433602,0.8043348281016441,True
49,PADI2,0.665692828581772,2.13731385048262e-14,PHG,0.136161293992032,0.0056540146523674,7.698970004336019,0.665692828581772,0.136161293992032,7.698970004336019,0.8032884902840058,True
50,ZMAT4,-0.558290205590135,1.10533271836807e-08,PHG,0.0350478041685653,0.622978818995646,18.69897000433602,0.558290205590135,0.0350478041685653,18.69897000433602,0.8028400597907324,False
51,TRIM36,-0.612944140744975,2.82700362701242e-13,TCX,-0.0761976506827844,0.0019934515300591,8.397940008672037,0.612944140744975,0.0761976506827844,8.397940008672037,0.8019431988041852,True
52,ANK3,-0.269633332389264,0.0002319560655166,TCX,-0.0963445141008932,0.14824411067265,13.522878745280336,0.269633332389264,0.0963445141008932,13.522878745280336,0.800896860986547,True
53,BIN1,0.221513928970917,0.0016487635328001,PHG,-0.0803775405883022,0.432979052964545,138.69897000433602,0.221513928970917,0.0803775405883022,138.69897000433602,0.7994020926756352,False
54,NRIP3,-0.760864807186961,3.85956795107669e-13,TCX,-0.0482201239502789,0.253112362114501,9.522878745280336,0.760864807186961,0.0482201239502789,9.522878745280336,0.7980568011958147,True
55,MTMR3,0.34024017674749,2.95311148204248e-12,TCX,0.142333481208128,0.10578421031827,9.397940008672036,0.34024017674749,0.142333481208128,9.397940008672036,0.7944693572496262,True
56,ATP5F1B,-0.345594968424533,6.34921371772161e-11,PHG,-0.0481857453895793,0.324127530274899,19.0,0.345594968424533,0.0481857453895793,19.0,0.7937219730941704,True
57,SERPINF2,0.535887337610749,0.0004433801065646,TCX,0.032606409448906,0.7375014736731,22.30102999566398,0.535887337610749,0.032606409448906,22.30102999566398,0.7931240657698055,True
58,NECTIN2,0.324572606547199,8.36768566323213e-06,TCX,0.0451185189124297,0.0703810868052454,300.0,0.324572606547199,0.0451185189124297,300.0,0.7907324364723467,True
59,DOCK3,-0.315208262927127,6.98418414723187e-10,TCX,-0.0551942148657555,0.0026091039400447,16.221848749616356,0.315208262927127,0.0551942148657555,16.221848749616356,0.7889387144992526,True
60,CCND3,0.307604012045526,1.32930811168741e-10,TCX,-0.117532838096219,0.0291498035273307,9.69897000433602,0.307604012045526,0.117532838096219,9.69897000433602,0.7853512705530643,False
61,SLC39A11,0.44917960115921,5.8113467958773e-14,ACC,0.0765079319852962,0.0252112389040319,9.0,0.44917960115921,0.0765079319852962,9.0,0.785052316890882,True
62,GALM,0.51551761962735,5.941569033205731e-09,TCX,0.11157590690719,0.0193251192593553,8.0,0.51551761962735,0.11157590690719,8.0,0.7841554559043347,True
63,PLIN4,0.703121670503892,2.21841627662706e-09,TCX,0.0830503229005585,0.0608448112495962,7.698970004336019,0.703121670503892,0.0830503229005585,7.698970004336019,0.782660687593423,True
64,LINGO1,-0.307251885230821,0.0001389883619231,PHG,-0.0610953670302025,0.0423380022913813,13.69897000433602,0.307251885230821,0.0610953670302025,13.69897000433602,0.7813153961136023,True
65,SLC3A2,0.415880356915341,2.51633425474402e-09,TCX,-0.0388995779861717,0.0490571512719619,16.522878745280337,0.415880356915341,0.0388995779861717,16.522878745280337,0.7762331838565022,False
66,GNB2,0.181932167331118,0.0003846759172561,TCX,0.230257449554324,0.280963739247757,17.221848749616356,0.181932167331118,0.230257449554324,17.221848749616356,0.7762331838565022,True
67,ITPKB,1.00774398811645,2.4077796158967603e-19,TCX,0.0683227491717798,0.019425203383595,7.698970004336019,1.00774398811645,0.0683227491717798,7.698970004336019,0.775186846038864,True
68,INPP5D,0.611035261210934,1.51491484668263e-11,PHG,0.0265824405012981,0.495652838348761,18.69897000433602,0.611035261210934,0.0265824405012981,18.69897000433602,0.771150971599402,True
69,MAF1,0.348684628171974,7.46202977478433e-12,TCX,0.0397655349767288,0.393280979164322,21.522878745280337,0.348684628171974,0.0397655349767288,21.522878745280337,0.7708520179372198,True
70,NEGR1,-0.574419496458213,5.39339299933351e-11,TCX,-0.0308656567243802,0.39984137286297,15.0,0.574419496458213,0.0308656567243802,15.0,0.7705530642750373,True
71,SYNPR,-0.561425878067185,1.05972367159623e-06,PHG,0.0565252012100447,0.221092679735357,8.698970004336019,0.561425878067185,0.0565252012100447,8.698970004336019,0.7698056801195814,False
72,SPEN,0.24865114365239,4.85673602517853e-10,PHG,0.0542318108114743,0.146581100577768,29.69897000433602,0.24865114365239,0.0542318108114743,29.69897000433602,0.768609865470852,True
73,FERMT2,0.263800001828752,0.0014164601202232,TCX,-0.0595363633633966,0.006411973051984,15.096910013008056,0.263800001828752,0.0595363633633966,15.096910013008056,0.7647234678624812,False
