gene	neglog10p
CDK13	6.096910013008056
CDK2AP1	15.221848749616356
CDKAL1	17.30102999566398
CDKL1	11.30102999566398
CDKN2B	5.522878745280337
CDKN2B-AS1	5.522878745280337
CDKN3	6.0
CDO1	8.0
CDON	5.522878745280337
CDR2L	6.045757490560675
CDRT15P3	5.221848749616356
CDX2	5.3979400086720375
CEACAM16	13.397940008672036
CEACAM16-AS1	65.30102999566398
CEACAM19	18.0
CEACAM20	14.0
CEACAM22P	22.69897000433602
CEACAMP5	5.522878745280337
CEBPA	8.698970004336019
CECR7	5.045757490560675
CELA3B	7.698970004336019
CELF1	8.0
CELF2	6.698970004336019
CELF4	9.69897000433602
CELF5	11.30102999566398
CELSR1	5.522878745280337
CEMIP	5.0
CENPE	6.522878745280337
CENPP	6.0
CEP170	9.522878745280336
CEP170B	12.69897000433602
CEP57	7.301029995663981
CEP89	8.301029995663981
CERS4	7.301029995663981
CFAP20DC	6.3979400086720375
CFAP418-AS1	5.221848749616356
CFAP46	6.522878745280337
CHCHD4P2	5.221848749616356
CHD1-DT	8.0
CHD2	6.698970004336019
CHEK2P5	30.221848749616356
CHID1	8.301029995663981
CHLSN	8.0
CHMP7	12.0
CHN2	8.045757490560675
CHRM3	5.3979400086720375
CHRNA2	10.0
CHRNA6	16.154901959985743
CHRNE	12.154901959985745
CHST1	6.3979400086720375
CHST10	7.397940008672037
CHST12	10.69897000433602
CHST14	8.698970004336019
CHST15	5.045757490560675
CHSY1	5.221848749616356
CHSY3	7.698970004336019
CHSY3-AS1	6.698970004336019
CIAO2A	16.69897000433602
CIAO3	5.698970004336019
CICP17	5.301029995663981
CIMIP4	6.301029995663981
CIR1P1	6.301029995663981
CISD1	8.154901959985743
CISD1P1	7.397940008672037
CKAP5	10.522878745280336
CKM	26.045757490560675
CLASRP	17.0
CLCNKB	6.0
CLDN17	8.0
CLDN18	6.301029995663981
CLEC3B	5.301029995663981
CLIC4	15.69897000433602
CLIC5	8.0
CLINT1	8.397940008672037
CLIP1	10.045757490560677
CLIP2	9.0
CLK2	12.69897000433602
CLMN	7.698970004336019
CLNS1A	6.154901959985743
CLPP	30.30102999566398
CLPTM1	63.39794000867204
CLPX	6.3979400086720375
CLSTN1	12.522878745280336
CLTCL1	13.69897000433602
CLU	47.0
CLXN	10.0
CLYBL	25.30102999566398
CMTM5	5.522878745280337
CNGB1	5.301029995663981
CNIH4	8.522878745280337
CNN2	10.096910013008056
CNN2P8	7.397940008672037
CNN3-DT	5.154901959985743
CNTN4	5.045757490560675
CNTN5	5.3979400086720375
CNTN6	5.221848749616356
CNTNAP2	8.698970004336019
CNTNAP5	6.221848749616356
CNTNAP5-DT	9.096910013008056
COA8	10.69897000433602
COBL	5.096910013008056
COG7	7.397940008672037
COL11A1	9.0
COL12A1	7.154901959985743
COL18A1	6.096910013008056
COL21A1	5.096910013008056
COL25A1	5.221848749616356
COL4A4	6.3979400086720375
COL5A1	10.397940008672036
COL6A2-DT	7.522878745280337
COL6A3	5.221848749616356
COL6A4P1	5.522878745280337
COL8A2	9.30102999566398
COLQ	12.096910013008056
COMMD1	11.096910013008056
COP1	5.096910013008056
COP1P1	5.301029995663981
COPDA1	8.0
COQ6	13.69897000433602
CORO2B	5.301029995663981
COX10-DT	7.221848749616356
COX4I2	8.0
COX5A	9.221848749616356
COX7B2	8.0
CPA6	5.522878745280337
CPAMD8P1	5.096910013008056
CPEB1-AS1	7.698970004336019
CPNE4	6.3979400086720375
CPNE8	6.0
CPNE8-AS1	13.0
CPS1	5.3979400086720375
CR1	55.15490195998574
CR1-AS1	55.15490195998574
CR1L	8.301029995663981
CRADD	7.301029995663981
CRBN	7.698970004336019
CRK	16.30102999566398
CROCC	8.397940008672037
CRTC1	7.698970004336019
CRTC3	11.69897000433602
CRY2	12.69897000433602
CRYBB2	31.0
CRYBG1	8.397940008672037
CRYL1	5.0
CSE1L	10.397940008672036
CSF3R	8.698970004336019
CSK	14.0
CSMD1	6.522878745280337
CSMD3	6.698970004336019
CSNK1A1L	5.3979400086720375
CSPG4BP	5.096910013008056
CSRP3-AS1	10.0
CST1	8.301029995663981
CST13P	8.0
CST2	5.3979400086720375
CST2P1	5.096910013008056
CST3	5.522878745280337
CST4	5.522878745280337
CST6	9.0
CST8	8.0
CSTF1	7.522878745280337
CSTP2	8.301029995663981
CSTPP1	8.0
CTAGE12P	5.301029995663981
CTAGE3P	18.045757490560675
CTBP2	5.698970004336019
CTCF	16.69897000433602
CTNNA1	8.522878745280337
CTNNA2	8.0
CTNNA3	7.522878745280337
CTNNBIP1	12.522878745280336
CTNNBL1	5.3979400086720375
CTNND1	11.522878745280336
CTNND2	6.045757490560675
CTSB	9.69897000433602
CTSH	8.397940008672037
CUL2	17.69897000433602
CUL3	9.397940008672036
CUX1	11.30102999566398
CUX2	6.3979400086720375
CUZD1	6.301029995663981
CWC25	8.096910013008056
CXCL1	7.0
CYB561	20.69897000433602
CYCS	6.698970004336019
CYCSP19	5.096910013008056
CYCSP30	10.0
CYCSP43	6.0
CYCSP55	28.522878745280337
CYLC2	5.698970004336019
CYP1A2	14.0
CYP20A1	8.698970004336019
CYP2F1	5.045757490560675
CYP2T3P	5.045757490560675
CYP2U1-AS1	5.698970004336019
CYP3A52P	15.154901959985745
CYP4F44P	13.045757490560677
CYP8B1	17.397940008672037
CYRIA	5.045757490560675
CYRIB	12.69897000433602
CYYR1	11.397940008672036
CYYR1-AS1	7.154901959985743
DAB1	8.301029995663981
DACH1	6.045757490560675
DACH2	6.0
DAG1	20.522878745280337
DAO	12.69897000433602
DAPK2	8.522878745280337
DAPL1	5.3979400086720375
DARS2	7.522878745280337
DAZAP1	9.522878745280336
DBF4P1	5.045757490560675
DCAF12	8.045757490560675
DCAF12-AS1	8.045757490560675
DCAF4	7.522878745280337
DCAF7	6.154901959985743
DCAKD	11.154901959985745
DCBLD1	6.3979400086720375
DCC	7.698970004336019
DCHS2	6.301029995663981
DCLK2	6.154901959985743
DDAH1	13.69897000433602
DDX10	5.698970004336019
DDX18	9.522878745280336
DDX25	6.301029995663981
DDX25-AS1	6.301029995663981
DDX27	7.522878745280337
DDX43P2	8.522878745280337
DDX6	7.522878745280337
DEAF1	8.154901959985743
DEDD	7.698970004336019
DEFA11P	5.301029995663981
DEFA7P	5.301029995663981
DEFB115	7.522878745280337
DENND1A	9.397940008672036
DENND2A	21.0
DENND3	8.522878745280337
DENND4A	8.397940008672037
DENND6A-DT	9.0
DEPDC1-AS1	5.301029995663981
DEPTOR	5.301029995663981
DGAT2-DT	9.0
DGKB	5.045757490560675
DGKI	7.698970004336019
DGKQ	9.522878745280336
DHDDS	7.522878745280337
DHDDS-AS1	7.522878745280337
DHFRP5	21.69897000433602
DHRS2	18.69897000433602
DHX58	11.397940008672036
DHX8	10.045757490560677
DIO2	9.096910013008056
DIO2-AS1	9.096910013008056
DIPK1B	5.096910013008056
DIRAS2	15.69897000433602
DISC1	5.045757490560675
DISC1FP1	7.301029995663981
DLEU1	5.301029995663981
DLG2	8.221848749616356
DLGAP2	9.69897000433602
DLGAP2-AS1	9.69897000433602
DLX5	6.096910013008056
DMAC1	5.698970004336019
DMBX1	6.045757490560675
DMD	6.0
DMXL1	6.045757490560675
DNAAF11P1	5.301029995663981
DNAAF2	5.3979400086720375
DNAH1	5.0
DNAH12	5.045757490560675
DNAH14	9.0
DNAI2	6.301029995663981
DNAJA2	7.301029995663981
DNAJB6P5	9.221848749616356
DNAL1	5.3979400086720375
DNM1P46	5.096910013008056
DNTT	9.69897000433602
DOC2A	12.522878745280336
DOCK1	11.522878745280336
DOCK10	8.0
DOCK3	16.221848749616356
DOCK4	9.522878745280336
DOK6	5.522878745280337
DPP3P2	8.154901959985743
DPP4	8.0
DPPA3P11	6.698970004336019
DPPA3P9	6.698970004336019
DRAXIN	9.30102999566398
DRG2	9.522878745280336
DSCAM	6.154901959985743
DSCAS	5.221848749616356
DSEL	5.0
DSG2	7.301029995663981
DST	9.045757490560677
DSTNP5	5.301029995663981
DTNB	10.154901959985745
DUSP6	12.69897000433602
DUX4L52	8.301029995663981
DVL2	5.3979400086720375
DYM	8.221848749616356
DYNLL1P4	5.045757490560675
DYNLRB2	5.221848749616356
DYNLRB2-AS1	7.0
DYNLT1	5.698970004336019
E2F6P2	7.0
EAPP	10.397940008672036
EBF1	6.0
EBLN3P	5.3979400086720375
ECE1	6.221848749616356
ECHDC2	9.0
ECHDC3	23.69897000433602
EDAR	7.397940008672037
EDIL3-DT	6.096910013008056
EEA1	13.69897000433602
EEF1A1P17	6.522878745280337
EEF1A1P27	5.221848749616356
EEF1A1P28	6.154901959985743
EEF1A1P49	5.3979400086720375
EFCAB10	7.522878745280337
EFCAB12	7.698970004336019
EFCAB3	5.3979400086720375
EFHB	6.698970004336019
EFHD1	6.096910013008056
EFL1	8.522878745280337
EFNA5	6.154901959985743
EGFLAM	9.69897000433602
EGFR	9.69897000433602
EGLN3	5.045757490560675
EGR2	7.301029995663981
EHHADH	7.698970004336019
EIF1P5	15.0
EIF2B3	17.30102999566398
EIF2S2P7	8.698970004336019
EIF3LP1	9.0
EIF4A1P9	10.522878745280336
EIF4E2	6.096910013008056
EIF4E3	5.3979400086720375
EIF4EBP2	8.0
EIF4EBP2P3	20.0
EIF4EP4	8.0
EIF4G3	11.69897000433602
ELAVL1	7.397940008672037
ELAVL3	9.397940008672036
ELMO1	8.0
ELOCP3	10.69897000433602
ELOVL3	11.0
ELOVL7	11.69897000433602
EMB	8.698970004336019
EMBP1	115.69897000433602
EML6	6.698970004336019
EMP1	6.221848749616356
EMSY	5.698970004336019
EMX2OS	8.522878745280337
EN2-DT	6.301029995663981
ENOPH1	6.0
ENPP7P11	7.698970004336019
ENSA	9.096910013008056
EP300-AS1	17.522878745280337
EPB41L1	16.096910013008056
EPB42	8.698970004336019
EPC2	6.0
EPCAM	10.0
EPHA1	10.0
EPHA1-AS1	22.0
EPHA4	7.0
EPHA5	5.698970004336019
EPHB1	5.045757490560675
EPHB4	13.045757490560677
EPHX2	10.0
EPIC1	6.3979400086720375
EPOP	5.698970004336019
EPRS1	8.0
EPS15P1	5.3979400086720375
EPSTI1	8.698970004336019
ERBB3	7.154901959985743
ERBB4	5.522878745280337
ERC2	7.698970004336019
ERCC1	18.0
ERCC2	10.30102999566398
ERCC6L2-AS1	6.522878745280337
ERCC8	11.154901959985745
ERG	5.154901959985743
ERN1	11.69897000433602
ERO1B	6.522878745280337
ERV3-1	7.698970004336019
ERVE-5	5.045757490560675
ERVH-3	9.0
ERVK-28	7.522878745280337
ERVK13-1	6.221848749616356
ESPNL	8.698970004336019
ESPNP	8.397940008672037
ESR2	6.3979400086720375
ESRRB	5.522878745280337
ETFA	8.096910013008056
ETS1	5.154901959985743
ETV1	13.397940008672036
ETV4	10.045757490560677
ETV5	5.096910013008056
EXD1	5.096910013008056
EXD3	12.69897000433602
EXO1	5.3979400086720375
EXOC3L2	43.30102999566398
EXOC4	7.397940008672037
EXOSC4	12.096910013008056
EXOSC8P1	16.0
EXPH5	5.698970004336019
EYA4	6.698970004336019
EZRP1	10.0
F13A1	7.301029995663981
F2R	7.0
F2RL1	7.0
FABP6	7.698970004336019
FADS1	18.154901959985743
FADS2	18.154901959985743
FAM107A	5.096910013008056
FAM110A	5.3979400086720375
FAM124B	7.0
FAM135B	6.045757490560675
FAM151B	9.0
FAM157C	14.221848749616356
FAM157D	5.698970004336019
FAM163A	5.698970004336019
FAM171A1	7.698970004336019
FAM181A	7.0
FAM181A-AS1	7.0
FAM186A	7.698970004336019
FAM193A	18.69897000433602
FAM193B	8.698970004336019
FAM193B-DT	8.698970004336019
FAM209A	6.698970004336019
FAM20B	9.397940008672036
FAM20C	23.397940008672037
FAM210B	5.3979400086720375
FAM222B	8.397940008672037
FAM227A	13.397940008672036
FAM228B	7.397940008672037
FAM230A	6.0
FAM230B	7.0
FAM240B	8.0
FAM25A	5.522878745280337
FAM47E	8.301029995663981
FAM76B	6.522878745280337
FAM83E	5.096910013008056
FAM95A	7.397940008672037
FANCD2	26.69897000433602
FANCD2OS	10.154901959985745
FAR2	7.698970004336019
FARP1	13.154901959985745
FARP2	41.69897000433602
FAT1	6.3979400086720375
FBN2	8.154901959985743
FBN3	7.301029995663981
FBP1	14.69897000433602
FBXL12P1	5.522878745280337
FBXL13	5.698970004336019
FBXL7	7.301029995663981
FBXO11	10.221848749616356
FBXO21	5.698970004336019
FBXO34	7.698970004336019
FBXO40	6.0
FBXO47	8.698970004336019
FBXW10	7.397940008672037
FCER1G	5.698970004336019
FCN1	5.221848749616356
FCN2	5.154901959985743
FEM1A	11.69897000433602
FEM1B	5.522878745280337
FENDRR	8.0
FERMT2	15.096910013008056
FEZ1	7.522878745280337
FGD5-AS1	5.096910013008056
FGF10	6.698970004336019
FGF19	9.221848749616356
FGF21	9.69897000433602
FGFR3	5.698970004336019
FGGY	5.301029995663981
FHIP1A	5.522878745280337
FHIP1A-DT	8.698970004336019
FHIP2A	9.522878745280336
FHIT	5.045757490560675
FHOD3	5.698970004336019
FIBCD1-AS1	9.096910013008056
FIBP	6.522878745280337
FILNC1	6.221848749616356
FKBP1C	8.045757490560675
FKBP8	5.0
FKBPL	5.522878745280337
FLJ40194	9.522878745280336
FLNB	5.221848749616356
FLRT2	8.0
FMN2	7.154901959985743
FMO1-AS1	5.3979400086720375
FMO2	5.3979400086720375
FNBP4	11.154901959985745
FNIP1	6.3979400086720375
FNIP2	6.522878745280337
FOXB1	5.154901959985743
FOXE1	6.698970004336019
FOXN2	7.522878745280337
FOXO1	8.698970004336019
FOXP1	6.698970004336019
FOXP1-DT	5.3979400086720375
FOXP2	5.698970004336019
FOXP4	7.698970004336019
FOXP4-AS1	7.397940008672037
FRAS1	7.698970004336019
FRG1BP	20.0
FRMD4A	10.0
FRMD4B	5.698970004336019
FRMD5	11.397940008672036
FRMPD4	6.698970004336019
FSCN1	12.30102999566398
FSIP2-AS1	7.522878745280337
FSTL5	5.154901959985743
FTH1P5	9.096910013008056
FTLP18	8.698970004336019
FUNDC2P2	7.698970004336019
FUT10	9.69897000433602
FUT2	12.397940008672036
FUT3	6.221848749616356
FUZ	5.698970004336019
G3BP1	6.698970004336019
G3BP2	8.0
GAB2	10.0
GABBR1	11.69897000433602
GABPA	5.045757490560675
GABRA2	9.0
GABRA4	8.0
GABRB3	5.221848749616356
GABRG3	6.522878745280337
GAK	13.0
GALM	8.0
GALNT10	5.698970004336019
GALNT13	6.0
GALNT15	5.3979400086720375
GALNT17	5.3979400086720375
GALR1	6.0
GAPDHP15	12.69897000433602
GAPDHP41	14.096910013008056
GAPDHP75	5.698970004336019
GAS8	8.0
GATAD2A	8.045757490560675
GATB	5.221848749616356
GAU1	6.698970004336019
GBA3	6.0
GCATP1	11.397940008672036
GCH1	7.698970004336019
GCNT7	6.698970004336019
GDAP2	7.698970004336019
GDF9	5.301029995663981
GDI2P1	8.522878745280337
GEMIN2P2	10.221848749616356
GEMIN7	28.096910013008056
GEMIN7-AS1	28.096910013008056
GFOD1	6.301029995663981
GFPT1	5.301029995663981
GFRA3	8.397940008672037
GGA3	5.0
GGACT	6.045757490560675
GGPS1	5.221848749616356
GGTA2P	5.301029995663981
GHR	13.397940008672036
GID4	9.522878745280336
GIGYF1	7.698970004336019
GIPC3	7.301029995663981
GIPR	21.522878745280337
GJB6	5.0
GJD4	8.154901959985743
GLB1L3	7.522878745280337
GLCCI1	7.397940008672037
GLI2	5.698970004336019
GLI3	5.698970004336019
GLIS3	8.522878745280337
GLRX	5.154901959985743
GLRXP1	9.69897000433602
GMEB1	14.522878745280336
GMNC	8.301029995663981
GMPPB	14.69897000433602
GMPR	10.096910013008056
GNB2	17.221848749616356
GNG7	12.0
GNPATP	5.698970004336019
GNPNAT1	10.30102999566398
GOLPH3L	14.0
GORAB	6.096910013008056
GPAT3	12.221848749616356
GPATCH11P1	8.0
GPATCH2L	5.522878745280337
GPBP1	5.045757490560675
GPC5	5.096910013008056
GPC6	7.154901959985743
GPR137	14.045757490560677
GPR141	12.522878745280336
GPR149	5.3979400086720375
GPT2	7.301029995663981
GPX4	5.096910013008056
