gene	log2fc	pval
ACBD3	-0.0389116230514316	0.012387355485665
ACBD5	0.0207912507492721	0.808556676781494
ACBD6	0.00489730918361103	0.833925818961742
ACBD7	0.0111405103822498	0.902863762426987
ACE	0.051782209156123	0.263877389014718
ACIN1	0.0485164159724629	0.160056214058317
ACLY	-0.10031085504448	0.133534101231247
ACO1	-0.00622923257863001	0.876019200440348
ACO2	-0.00989917107669547	0.688496895056615
ACOT1	0.0818525884300674	0.238200185924278
ACOT11	0.0226660744855299	0.725532750675381
ACOT13	-0.00801474918789492	0.874244468740788
ACOT4	0.0878388119185452	0.311131765895119
ACOT7	-0.053578984662604	0.0312684668204041
ACOT8	0.0181516532878952	0.591722967862355
ACOT9	0.0382492803702067	0.0614227394698357
ACOX1	-0.0610205744078423	0.0479023918268563
ACOX2	0.0107089973581738	0.851713668896257
ACOX3	0.0192731015124191	0.640600894322292
ACP1	0.100209231965787	0.371821375080185
ACP2	-0.0194322829957405	0.487298077503449
ACP6	0.0679725021400982	0.507325970700586
ACSBG1	-0.00157892173124741	0.972014232251844
ACSF2	-0.0328161726004697	0.252687444099038
ACSF3	-0.0098048209958734	0.873185697799094
ACSL1	0.0309440006960581	0.387526736224527
ACSL3	0.00293197541168494	0.899258797137287
ACSL4	-0.0164631877825897	0.369119194952349
ACSL6	-0.0187498892916421	0.410845016409299
ACSS1	-0.0530256488354919	0.026603057858515
ACSS2	-0.0133189094091942	0.661038276988169
ACSS3	0.028671847727972	0.424416866992143
ACTA2	-0.0682809895465037	0.11081026705365
ACTB	-0.0111512301064082	0.69898177245356
ACTBL2	0.0458234943246331	0.534222180296347
ACTG1	0.173970997655556	0.102927948830191
ACTL6A	0.0185143436384082	0.687697255089404
ACTL6B	0.0508703917095852	0.132785337265342
ACTN1	-0.0657642675592538	0.050578596759036
ACTN2	-0.0941079823761022	0.0872773291889285
ACTN3	0.0293040375650782	0.913847645339124
ACTN4	-0.159931318486249	0.000298804636586901
ACTR10	-0.0307141613089526	0.0709802499726594
ACTR1A	0.00241680783220954	0.912585335267028
ACTR1B	-0.0194972720613017	0.436735792954536
ACTR2	-0.045310144843773	0.165102600619718
ACTR3	0.0245078010063889	0.029662815434943
ACTR3B	-0.0467848456852196	0.0579239309762135
ACTR5	0.0270028868326	0.682684154547752
ACVR1	0.0350704984851232	0.203063390052786
ACVR1B	0.0810324356079869	0.0402473826489179
ACVR2A	0.085127529614436	0.0142265516113863
ACY1	0.0353591579295839	0.0902954902962774
ACY3	0.040148432354171	0.570163328904822
ACYP1	0.00558338582076945	0.913847645339124
ACYP2	0.027813346746381	0.396279291171204
ADA	-0.0150142323242096	0.79028559171925
ADAM10	-0.014502655159022	0.816559530343947
ADAM11	-0.0542333793038978	0.00124538762222708
ADAM15	-0.0504203031884441	0.320833905309367
ADAM17	0.0254838927957773	0.496001792267713
ADAM22	0.0244760995254103	0.594873241931297
ADAM23	-0.0387706108717011	0.262812929874467
ADAM9	-0.0327022537575249	0.0334967762355101
ADAP1	-0.0308664682991172	0.131193943143116
ADAR	0.00890630044013031	0.785119194211935
ADARB1	0.0706376118479253	0.0894724402542148
ADCK1	-0.0340056444909342	0.427187341929126
ADCK5	0.0204489337961184	0.515301312758069
ADCY1	-0.0583792914486632	0.00689798808423792
ADCY2	-0.0482695790619784	0.0580238032280627
ADCY3	-0.0161884587351454	0.671292412108208
ADCY5	-0.00232456300000031	0.917451750398526
ADCY6	0.00246419940635723	0.960944290080904
ADCY8	-0.0109101224774326	0.740076885313326
ADCY9	0.032934284785783	0.129372594263517
ADCYAP1	-0.0829436100507383	0.270247456139033
ADCYAP1R1	0.0668156812847314	0.0485614098029237
ADD1	0.0408908182866448	0.430253063313671
ADD2	-0.042075782326412	0.0338410516562062
ADD3	0.0480562984954428	0.0486989104063681
ADGRA1	-0.0517616437347597	0.018312654726205
ADGRA3	-0.0748123097632614	0.103875889924533
ADGRB1	-0.049041810068829	0.0209587368256484
ADGRB2	-0.0630897231702468	0.00728727632398019
ADGRB3	-0.000698015614533892	0.979002632224455
ADGRF5	0.0275895346668235	0.803442160140948
ADGRG1	0.194555770125324	0.000182205251540456
ADGRL1	-0.0258066841579491	0.206332105384562
ADGRL2	-0.0282113662786587	0.333228530152972
ADGRL3	-0.0338935061065819	0.515027432992394
ADH1B	0.0715267702733184	0.493756774719608
ADH5	0.0296270391499115	0.320523193321194
ADHFE1	-0.0828232606245398	0.154854669936167
ADI1	-0.0923021510009374	0.230774625257938
ADIPOR1	0.0214558893927219	0.798723737425121
ADIRF	0.137412908612297	0.0696207006143679
ADISSP	-0.025393577498583	0.309949263405652
ADK	0.0140587693890901	0.569123644378963
ADNP	0.0325161337185814	0.413150193364255
ADO	-0.0169648944815476	0.505480487293625
ADORA1	-0.0809173381836763	0.0250779742917315
