gene	log2fc	pval	tissue
ABR	0.124367030568783	0.0423371266257518	TCX
ABRA	-0.374877274000259	0.005085184488225	PHG
ABRACL	-0.658279694448483	1.5705100053953001e-15	PHG
ABRAXAS1	-0.121172002113039	0.0111110346816686	TCX
ABRAXAS2	-0.142405575088397	0.0002453152697006	PHG
ABT1	-0.0638263489754967	0.183587672170591	FP
ABTB1	-0.140421431187432	0.0158883633112495	PHG
ABTB2	0.422579022313583	1.3681030633303e-07	TCX
ABTB3	-0.89912472808392	9.676196690203571e-09	TCX
ACAA1	0.0643791446648292	0.0946668463866936	TCX
ACAA2	0.185256145972756	0.0024875490081916	PHG
ACACA	-0.0976702816548656	0.0215120756005076	TCX
ACACB	0.528815407675369	1.65604087248766e-08	PHG
ACAD10	-0.0862476334180089	0.0009659136143848	ACC
ACAD11	-0.280345047714598	0.0175885582957227	STG
ACAD8	-0.180647535747268	2.23493769099755e-06	TCX
ACAD9	-0.180753725132002	0.0037845443974516	TCX
ACAD9-DT	0.257654604809055	0.0232566508763284	PHG
ACADL	0.359808210897314	0.0055967964203541	TCX
ACADM	-0.0655515822783155	0.121563009260946	PHG
ACADS	0.132273808515456	0.0738655741986169	TCX
ACADSB	-0.415138494772795	3.6901159617985e-09	TCX
ACADVL	0.273892150648622	3.58872721332058e-05	TCX
ACAN	0.554939435242372	7.68632972511277e-05	TCX
ACAP1	0.402277193066511	1.4060145592505901e-09	PHG
ACAP2	0.0845838785842936	0.14220973099944	TCX
ACAP2-IT1	-0.490457325885173	4.06506628002061e-06	TCX
ACAP3	-0.0904091825843309	0.193779538225304	PHG
ACAT1	-0.071912026591133	0.0801324757890572	STG
ACAT2	-0.284373426122196	8.14656965822447e-05	PHG
ACBD3	-0.0945271588957013	0.0371683183390834	TCX
ACBD4	-0.075694502951019	0.017231526313523	DLPFC
ACBD5	0.122386339318107	0.0002757948176373	PHG
ACBD6	-0.085928056532782	0.0076495590627415	FP
ACBD7	0.132329885447541	0.313740956960968	TCX
ACCS	-0.347928005766345	0.0209892470092844	TCX
ACD	-0.062960332160968	0.148365001885222	PHG
ACE	0.14015032514875	0.067717807366929	FP
ACER2	0.308792302730063	0.0163409617481547	TCX
ACER3	0.191871646765042	8.5445555291543e-06	PHG
ACER3-AS1	0.297351336971412	0.0037757746783655	PHG
ACHE	-0.224422160147376	0.0031466654996195	PHG
ACIN1	0.162852724101247	3.56334437123629e-05	PHG
ACKR1	0.565218076675176	1.69258366098196e-05	TCX
ACKR2	0.286722116914332	0.0066518090532529	PHG
ACKR3	0.604884628629879	1.35007319411621e-07	TCX
ACKR4	-0.134704741305136	0.280186797448495	STG
ACKR5	0.186385878093747	0.0397850635878112	PHG
ACLY	-0.16209927396331	0.0011080705984143	TCX
ACMSD	0.134905802975322	0.33027596704206	TCX
ACO1	0.105319691620598	0.0018788500137384	PHG
ACO2	-0.126369947690447	0.0149162549397393	TCX
ACOT1	-0.254857262307978	0.130940128065091	STG
ACOT11	0.170987988269359	0.0185289950325444	PHG
ACOT13	0.0468884728271295	0.230532591479163	TCX
ACOT2	-0.125252183999336	0.0551214918688719	FP
ACOT4	-0.400287142298485	1.14651091764699e-05	PCC
ACOT6	-0.125732787063835	0.30097360510126	FP
ACOT7	-0.434283064888835	1.3184967949919801e-09	PHG
ACOT8	-0.0627410087531475	0.115149521673796	PHG
ACOT9	-0.0407586477567641	0.34796782187116	PCC
ACOX1	0.107380550749804	0.0011684264611765	PHG
ACOX2	0.465682453494018	1.15841793267384e-07	TCX
ACOX3	-0.0636561130776307	0.0627532682733159	TCX
ACOXL-AS1	-0.313485838278178	0.0072132873871205	IFG
ACP1	-0.255804960989853	1.49621177816563e-08	TCX
ACP2	-0.352898041266678	4.31149676971965e-05	TCX
ACP3	0.735090430766769	1.2233649050445e-06	PHG
ACP4	-0.22117238221148	0.0955623692878705	FP
ACP5	0.624328522296111	5.90049306636359e-07	PHG
ACP6	0.144447952997273	0.003893162759529	PHG
ACP7	0.408381953239829	0.0003060943992791	DLPFC
ACRBP	-0.0438045807019425	0.751009470224457	TCX
ACRV1	-0.290443380117145	0.0009853387477601	ACC
ACSBG1	0.32845796793564	0.0033823238076648	TCX
ACSBG2	0.220495565963444	0.0352012808636353	PHG
ACSF2	0.321839227943782	0.0045594803526374	TCX
ACSF3	0.118009602316421	0.0188265074840375	STG
ACSL1	0.508805291392656	8.74509269216162e-10	PHG
ACSL3	-0.240606724116626	2.03916012016563e-05	TCX
ACSL3-AS1	-0.290399959888452	0.0081613711219648	FP
ACSL3P1	0.530428161870986	5.8969022457307e-06	PHG
ACSL4	-0.420727576732897	1.07373796244044e-11	TCX
ACSL5	0.54998068667654	5.41848597193993e-07	TCX
ACSL6	-0.337972066508907	2.12237644995321e-09	PHG
ACSL6-AS1	-0.194532091868557	0.0907097316886376	FP
ACSM1	0.488684082426135	0.0139794650676159	TCX
ACSM4	-0.0891105905109816	0.481820993056235	FP
ACSM5	0.580478282861426	1.7699018291493e-07	PHG
ACSM6	-0.368050067064452	0.0007816679599919	PHG
ACSS1	0.356720779455181	6.41203891711309e-05	PHG
ACSS2	0.158628016962231	5.02172797759322e-05	PHG
ACSS3	0.558021290498622	5.2225869973466e-09	TCX
ACTA1	-0.251709800311803	0.0006719856285445	DLPFC
ACTA2	0.425751217661465	4.57236293780594e-05	TCX
ACTA2-AS1	-0.382564260116872	0.0012533215757571	TCX
ACTB	-0.16720154164862	0.0004376786680936	ACC
ACTBP4	0.209764349822391	0.0613066738673846	IFG
ACTBP7	-0.244028859013985	0.0260663659702471	FP
ACTC1	-0.238488801023719	0.0526345083568426	IFG
ACTG1	-0.199323245413666	8.2199520218171e-05	ACC
ACTG1P1	-0.405953064222407	8.84881612772364e-05	IFG
ACTG1P10	-0.115192987916421	0.313797869040289	FP
ACTG1P12	-0.479186801452299	6.2608455903548e-08	PHG
ACTG1P14	-0.280605096908835	0.00960528518606	FP
ACTG1P17	-0.32980877366434	3.17326688909767e-07	DLPFC
ACTG1P18	-0.23000188928861	0.0006035072611559	PHG
ACTG1P20	-0.183260668692668	0.108916038505186	FP
ACTG1P25	-0.193186089226144	0.0173041096215541	PCC
ACTG1P3	-0.157255649660713	0.155179482064786	FP
ACTG2	0.599450846626081	0.0456023187043847	PHG
ACTL6A	0.454021358252105	2.98554339935381e-07	TCX
ACTL6B	-0.456898064310872	9.02531562240515e-08	PHG
ACTMAP	0.406752715543925	5.3592098978263e-06	PHG
ACTN1	-0.129598983475318	0.0268855572651842	PHG
ACTN2	-0.472988511407517	1.4151089391016799e-11	TCX
ACTN3	0.35523790941032	0.0016487021141217	PHG
ACTN4	0.239774999647471	2.83423840792479e-08	TCX
ACTR10	-0.311359319214791	4.59816355534372e-09	TCX
ACTR1A	-0.0568141720303563	0.0411016408453392	PHG
ACTR1AP1	0.139427156903306	0.309402454193025	STG
ACTR1B	-0.215142499712822	3.23721171388288e-05	PHG
ACTR2	-0.294298098005978	6.52762661566796e-06	TCX
ACTR3	-0.0422329607334753	0.365125755622311	STG
ACTR3B	-0.328457183705915	7.96696810938597e-10	PHG
ACTR3C	-0.0879444151080555	0.12485239793512	DLPFC
ACTR5	0.0571994444721695	0.103287082688662	PCC
ACTR6	-0.240275392930513	6.89307146366131e-06	PHG
ACTR8	-0.0885745335158683	0.115196560488346	TCX
ACTRT3	-0.273394287760712	0.0408198581587921	IFG
ACVR1	0.294508248950864	3.64605672775158e-08	TCX
ACVR1B	-0.135433288262902	0.0027711651712963	PHG
ACVR1C	-0.284128943325467	0.0052198539528923	TCX
ACVR2A	-0.257588947955588	1.63175568955688e-10	PHG
ACVR2B	0.104727495272217	0.0003524900234359	PHG
ACVR2B-AS1	-0.311742389058812	0.0107074974290195	TCX
ACVRL1	0.538277066126851	9.70999564177441e-06	TCX
ACY3	0.828500773603055	0.0003135159547007	PCC
ACYP1	-0.0535912477695559	0.276644869615856	PHG
ACYP2	-0.101862168214934	0.0062352643598336	FP
ADA	0.365219076608467	0.0009670608059085	TCX
ADA2	0.396731685642421	1.85217289855186e-07	PHG
ADAD2	-0.610767612520829	0.0005771845434446	PCC
ADAM10	0.21742286941886	6.854896795867801e-10	PHG
ADAM11	-0.502663790411536	1.6403461644950498e-11	PHG
ADAM12	0.444475721590772	0.0006886964192443	TCX
ADAM15	0.232408630688506	0.0005472321106698	PHG
ADAM17	0.0717189383062227	0.0209702340902413	ACC
ADAM19	-0.259221624896098	6.27229694591195e-08	PHG
ADAM1B	-0.228110321508566	0.0100898866643345	TCX
ADAM20	-0.240814900195633	4.19645403744439e-07	PHG
ADAM20P1	0.391081580760302	0.0022729424422098	TCX
ADAM21	-0.29589377939273	2.45607909920123e-06	PHG
ADAM22	-0.328992508452255	9.46356154629464e-08	TCX
ADAM23	-0.443600508278822	9.59444445447038e-08	PHG
ADAM28	-0.61513605370567	4.98016154513743e-05	TCX
ADAM29	-0.317524395583907	0.0026141093785929	PHG
ADAM32	-0.313089551341319	1.95156278296237e-09	PHG
ADAM33	0.873425696385285	2.99792044270464e-08	TCX
ADAM7	-0.203264237453864	0.0983173933082131	PHG
ADAM7-AS1	-0.302981610981435	0.0013193998747197	PHG
ADAM8	0.142506506890321	0.215879119907658	TCX
ADAM9	-0.111267746554125	0.0191600843500752	PCC
ADAMDEC1	-0.129287282004791	0.426950748413437	IFG
ADAMTS1	0.720709076371673	4.32873211634166e-07	TCX
ADAMTS10	0.168132975561952	0.0789239913548981	TCX
ADAMTS12	0.555690544809833	6.7492675059816e-05	PHG
ADAMTS13	-0.22730126322423	0.0037444060551489	TCX
ADAMTS14	0.472206839123845	0.0031775475438261	PHG
ADAMTS15	0.455544998149267	0.0006212527653309	PHG
ADAMTS16	0.16757635895807	0.095202390097918	PCC
ADAMTS16-DT	0.236698825773646	0.0140749629115871	PCC
ADAMTS17	-0.142270649856642	0.0105188103367327	PHG
ADAMTS18	-0.515828743397466	0.181918059267686	FP
ADAMTS19	-0.237319930928641	3.55175294350083e-05	PHG
ADAMTS19-AS1	-0.276292772863541	0.0114517446779698	PHG
ADAMTS2	0.730132341093529	4.75409515980365e-11	PHG
ADAMTS3	-0.536873146761279	3.833262787766591e-09	PHG
ADAMTS4	-0.53825515189919	3.01037180938997e-05	ACC
ADAMTS5	0.314297483556187	0.0005563478683351	ACC
ADAMTS6	-0.198828204620238	0.0079729351357378	PCC
ADAMTS7	0.435815965945268	0.0008180539239244	PHG
ADAMTS7P1	-0.159647342759832	0.0493713606406411	PHG
ADAMTS7P4	0.106307433159888	0.45851878945079	TCX
ADAMTS8	-0.347978651463451	1.12611123679261e-08	ACC
ADAMTS9	0.546563156259919	0.0223101624073967	TCX
ADAMTS9-AS1	-0.362749472592571	0.0670115109983504	IFG
